fast,slow,signal,profit_factor,total_return,sharpe_ratio,win_rate
7,40,10,0.9633685986215503,-0.05702601149455044,-0.9021124976694362,0.49437469427686287
7,40,12,0.9813711736089944,-0.02872176643905406,-0.45438619193868857,0.49600261054005546
7,40,14,0.9692846636716707,-0.04764729690691505,-0.7538158016815949,0.4969815630608582
7,42,6,0.9833058508180615,-0.02573043763474022,-0.40701186651832527,0.491279543602282
7,42,8,0.9724888793746838,-0.042635002580249666,-0.6744295280911522,0.49209453952730237
7,42,10,0.9666702639212492,-0.05177162712533024,-0.8190727348978181,0.49518681677271986
7,42,12,0.9783683983639265,-0.033402040743977006,-0.5284325897347423,0.49632892804698975
7,42,14,0.9611573553867054,-0.060500901574882936,-0.957201084060425,0.495757180156658
7,44,6,0.9870757410857067,-0.019882170980314785,-0.31450047508496765,0.49225753871230643
7,44,8,0.9702282723975385,-0.04618721482982761,-0.7306324495485976,0.49315291816106943
7,44,10,0.969247933032853,-0.047705165253177355,-0.7547314083013209,0.4946973405123185
7,44,12,0.969404399879723,-0.04745867002551792,-0.7508313048608579,0.4956762930331212
7,44,14,0.963027974249256,-0.057532368640746435,-0.9102285228009994,0.4968994778067885
7,46,6,0.9833425395724971,-0.02567341488978348,-0.40610983881533186,0.49079054604726974
7,46,8,0.9647556552290683,-0.054827973994340785,-0.8673366353946942,0.49323332789825536
7,46,10,0.9720177541529541,-0.04334741847553664,-0.6857829622600349,0.4945341817588514
7,46,12,0.971816265017234,-0.04366400750066978,-0.6907919902035723,0.4961657692935226
7,46,14,0.968706473941025,-0.04855556675749637,-0.768190007580287,0.4970626631853786
7,48,6,0.979021815391315,-0.03240334891092917,-0.5125701148052766,0.4901385493072535
7,48,8,0.9678916149470089,-0.04984352842538154,-0.7885653179197939,0.4935552292380486
7,48,10,0.967827635393586,-0.04994447101931417,-0.7901624769007202,0.49404470549845
7,48,12,0.9794062569217948,-0.03178087483114626,-0.5027862143836429,0.4968994778067885
7,48,14,0.9760407344732711,-0.037037622756146464,-0.5859544663756706,0.49559399477806787
9,20,6,0.9936350074613342,-0.009808190404602936,-0.154907992837083,0.4953801264386448
9,20,8,0.9716152732259601,-0.04422819184200049,-0.6985552873010589,0.49246231155778897
9,20,10,0.9662448845400299,-0.05273557334577614,-0.8329445149144361,0.49270428015564205
9,20,12,0.9795760077622497,-0.03167284043044468,-0.5003689941325846,0.4942416869424169
9,20,14,0.9875106278346673,-0.019288644486065105,-0.30472343333711904,0.49691758598312785
9,22,6,0.9852059900556408,-0.022893751775182235,-0.3615811164809737,0.49440752147835954
9,22,8,0.9757456163139938,-0.0377103789342453,-0.595608823672068,0.49416342412451364
9,22,10,0.9652005759493445,-0.05436053610069656,-0.8588248512451993,0.49278183292781835
9,22,12,0.9805605685086825,-0.030127700996462108,-0.4759649114854358,0.49497079818299805
9,22,14,0.9835200145541427,-0.02539536862368421,-0.40171526005039965,0.4960873818063254
9,24,6,0.9841619225697978,-0.024522344608531067,-0.3873035294472336,0.4948938239585022
9,24,8,0.9719422196051871,-0.04370798710579329,-0.6903437657166326,0.49432555123216604
9,24,10,0.9699831474240621,-0.04677579730971656,-0.7389842721057902,0.4932684509326845
9,24,12,0.9834583071984693,-0.025599261476160574,-0.4044213917967413,0.4974042829331603
9,24,14,0.9786048393291887,-0.03305048142117096,-0.5228126479840998,0.4963313223544758
9,26,6,0.9791305351986823,-0.032394666451236113,-0.5116429446425973,0.49327281569136
9,26,8,0.9696262454716268,-0.04737141267387067,-0.7482107197099814,0.4920557717250324
9,26,10,0.9636707200564538,-0.05679455266692,-0.8972841163985151,0.4932684509326845
9,26,12,0.9859943731803373,-0.021649261899642856,-0.3420122658515989,0.4978102189781022
9,26,14,0.9735237553625036,-0.040992668329842295,-0.6484847797237915,0.49608482871125614
9,28,6,0.9811149005202433,-0.029285069076831267,-0.46252798200568085,0.49554222726535907
9,28,8,0.9723048823061322,-0.04313510358196479,-0.6812946844385758,0.49351491569390404
9,28,10,0.9633323629867888,-0.05733339451686147,-0.9057983048806092,0.4929440389294404
9,28,12,0.9908128303249515,-0.014166738058255642,-0.22380307514462058,0.4981346309813463
9,28,14,0.9782638371544503,-0.033730068612266954,-0.5328706594192523,0.497323600973236
